date;hospitalisations;soins intensifs & réanimations
22-03-2020;-124;-21
29-03-2020;-270;-58
05-04-2020;-348;-72
12-04-2020;-299;-68
19-04-2020;-180;-29
26-04-2020;-185;-41
03-05-2020;-162;-29
10-05-2020;-159;-22
17-05-2020;-127;-11
24-05-2020;-116;-10
31-05-2020;-105;-7
07-06-2020;-97;-6
14-06-2020;-84;-5
21-06-2020;-82;-3
28-06-2020;-76;-3
05-07-2020;-69;-4
12-07-2020;-62;-3
19-07-2020;-60;-4
26-07-2020;-52;-3
02-08-2020;-51;-3
09-08-2020;-51;-2
16-08-2020;-51;-1
23-08-2020;-53;-1
30-08-2020;-50;-2
06-09-2020;-43;-1
13-09-2020;-38;-4
20-09-2020;-34;-5
27-09-2020;-44;-9
04-10-2020;-55;-11
11-10-2020;-61;-11
18-10-2020;-72;-8
25-10-2020;-123;-14
01-11-2020;-190;-31
08-11-2020;-221;-33
15-11-2020;-261;-30
22-11-2020;-247;-30
29-11-2020;-208;-30
06-12-2020;-222;-24
13-12-2020;-214;-25
20-12-2020;-196;-24
27-12-2020;-193;-24
03-01-2021;-188;-24
10-01-2021;-211;-30
17-01-2021;-213;-25
24-01-2021;-228;-31
31-01-2021;-225;-32
07-02-2021;-232;-32
14-02-2021;-209;-26
21-02-2021;-204;-30
28-02-2021;-189;-35
07-03-2021;-199;-31
14-03-2021;-210;-30
21-03-2021;-214;-37
28-03-2021;-238;-43
04-04-2021;-252;-49
11-04-2021;-288;-50
18-04-2021;-267;-53
25-04-2021;-265;-43
02-05-2021;-260;-45
09-05-2021;-220;-36
16-05-2021;-208;-27
23-05-2021;-160;-16
30-05-2021;-140;-18
06-06-2021;-104;-12
