date;h1-hosp solde;h1-rea solde
22-03-2020;;
29-03-2020;12357;2918
05-04-2020;9436;2267
12-04-2020;2918;-145
19-04-2020;-1179;-1070
26-04-2020;-2372;-1046
03-05-2020;-2375;-836
10-05-2020;-3237;-1034
17-05-2020;-3200;-681
24-05-2020;-2173;-429
31-05-2020;-2858;-331
07-06-2020;-1856;-263
14-06-2020;-1579;-183
21-06-2020;-1058;-154
28-06-2020;-1051;-93
05-07-2020;-864;-73
12-07-2020;-872;-48
19-07-2020;-408;-25
26-07-2020;-943;-81
02-08-2020;-452;-22
09-08-2020;-196;23
16-08-2020;-172;-15
23-08-2020;-137;18
30-08-2020;-166;25
06-09-2020;180;84
13-09-2020;531;182
20-09-2020;128;172
27-09-2020;879;278
04-10-2020;729;223
11-10-2020;1267;148
18-10-2020;2666;456
25-10-2020;5557;636
01-11-2020;7554;994
08-11-2020;6209;958
15-11-2020;2833;353
22-11-2020;-1528;-389
29-11-2020;-3238;-747
06-12-2020;-2022;-534
13-12-2020;-1055;-349
20-12-2020;-246;-116
27-12-2020;-341;-95
03-01-2021;160;15
10-01-2021;-254;-45
17-01-2021;709;146
24-01-2021;1122;189
31-01-2021;1216;193
07-02-2021;79;114
14-02-2021;-1251;37
21-02-2021;-937;93
28-02-2021;-184;100
07-03-2021;-462;251
14-03-2021;171;384
21-03-2021;937;279
28-03-2021;1786;466
04-04-2021;1644;469
11-04-2021;1315;497
18-04-2021;118;55
25-04-2021;-502;85
02-05-2021;-1469;-393
09-05-2021;-3021;-614
16-05-2021;-2834;-716
23-05-2021;-3243;-740
30-05-2021;-2945;-522
06-06-2021;-2250;-466
13-06-2021;-2045;-421
20-06-2021;-1962;-403
27-06-2021;-1532;-358
04-07-2021;-1073;-241
11-07-2021;-730;-157
18-07-2021;-247;-56
25-07-2021;-93;-5
01-08-2021;738;251
08-08-2021;1104;419
15-08-2021;1113;296
